x,rho,u,p
0.00125000,0.78957037,-0.27337870,0.71803540
0.00375000,0.79118506,-0.27083624,0.72030405
0.00625000,0.79272203,-0.26850680,0.72238772
0.00875000,0.79431202,-0.26615574,0.72449586
0.01125000,0.79593852,-0.26378799,0.72662421
0.01375000,0.79759140,-0.26140667,0.72877012
0.01625000,0.79926477,-0.25901309,0.73093251
0.01875000,0.80095479,-0.25660839,0.73311047
0.02125000,0.80265896,-0.25419332,0.73530340
0.02375000,0.80437571,-0.25176835,0.73751095
0.02625000,0.80610403,-0.24933378,0.73973297
0.02875000,0.80784329,-0.24688975,0.74196938
0.03125000,0.80959311,-0.24443633,0.74422022
0.03375000,0.81135325,-0.24197354,0.74648553
0.03625000,0.81312356,-0.23950140,0.74876539
0.03875000,0.81490397,-0.23701990,0.75105989
0.04125000,0.81669442,-0.23452904,0.75336910
0.04375000,0.81849491,-0.23202880,0.75569313
0.04625000,0.82030545,-0.22951918,0.75803206
0.04875000,0.82212605,-0.22700017,0.76038599
0.05125000,0.82395674,-0.22447175,0.76275501
0.05375000,0.82579755,-0.22193391,0.76513921
0.05625000,0.82764853,-0.21938665,0.76753870
0.05875000,0.82950971,-0.21682995,0.76995356
0.06125000,0.83138115,-0.21426380,0.77238390
0.06375000,0.83326289,-0.21168819,0.77482982
0.06625000,0.83515498,-0.20910310,0.77729142
0.06875000,0.83705748,-0.20650851,0.77976880
0.07125000,0.83897044,-0.20390442,0.78226206
0.07375000,0.84089390,-0.20129080,0.78477132
0.07625000,0.84282794,-0.19866764,0.78729669
0.07875000,0.84477261,-0.19603491,0.78983826
0.08125000,0.84672798,-0.19339259,0.79239617
0.08375000,0.84869409,-0.19074066,0.79497052
0.08625000,0.85067103,-0.18807909,0.79756145
0.08875000,0.85265886,-0.18540784,0.80016907
0.09125000,0.85465764,-0.18272689,0.80279352
0.09375000,0.85666747,-0.18003619,0.80543492
0.09625000,0.85868840,-0.17733570,0.80809343
0.09875000,0.86072053,-0.17462538,0.81076919
0.10125000,0.86276395,-0.17190517,0.81346235
0.10375000,0.86481875,-0.16917500,0.81617307
0.10625000,0.86688502,-0.16643482,0.81890152
0.10875000,0.86896288,-0.16368455,0.82164789
0.11125000,0.87105243,-0.16092411,0.82441235
0.11375000,0.87315380,-0.15815340,0.82719512
0.11625000,0.87526712,-0.15537231,0.82999640
0.11875000,0.87739252,-0.15258073,0.83281643
0.12125000,0.87953017,-0.14977853,0.83565544
0.12375000,0.88168021,-0.14696557,0.83851371
0.12625000,0.88384284,-0.14414167,0.84139150
0.12875000,0.88601825,-0.14130666,0.84428912
0.13125000,0.88820663,-0.13846034,0.84720689
0.13375000,0.89040822,-0.13560248,0.85014516
0.13625000,0.89262324,-0.13273284,0.85310428
0.13875000,0.89485196,-0.12985115,0.85608466
0.14125000,0.89709464,-0.12695711,0.85908668
0.14375000,0.89935156,-0.12405041,0.86211078
0.14625000,0.90162299,-0.12113071,0.86515738
0.14875000,0.90390922,-0.11819765,0.86822691
0.15125000,0.90621051,-0.11525086,0.87131980
0.15375000,0.90852711,-0.11228994,0.87443640
0.15625000,0.91085921,-0.10931450,0.87757706
0.15875000,0.91320693,-0.10632415,0.88074199
0.16125000,0.91557031,-0.10331851,0.88393129
0.16375000,0.91794922,-0.10029722,0.88714487
0.16625000,0.92034339,-0.09725993,0.89038239
0.16875000,0.92275228,-0.09420634,0.89364320
0.17125000,0.92517506,-0.09113620,0.89692623
0.17375000,0.92761054,-0.08804927,0.90022991
0.17625000,0.93005706,-0.08494537,0.90355204
0.17875000,0.93251243,-0.08182431,0.90688967
0.18125000,0.93497381,-0.07868592,0.91023897
0.18375000,0.93743759,-0.07552997,0.91359505
0.18625000,0.93989933,-0.07235616,0.91695184
0.18875000,0.94235357,-0.06916403,0.92030188
0.19125000,0.94479380,-0.06595290,0.92363621
0.19375000,0.94721227,-0.06272182,0.92694417
0.19625000,0.94959994,-0.05946940,0.93021330
0.19875000,0.95194642,-0.05619384,0.93342919
0.20125000,0.95423986,-0.05289272,0.93657541
0.20375000,0.95646697,-0.04956301,0.93963349
0.20625000,0.95861303,-0.04620095,0.94258292
0.20875000,0.96066193,-0.04280204,0.94540123
